#,Name,Pos,Age,Ovr,Pot,Contract,Exp,PER,EWA,Draft
396,Damone Brown,F,25,40,44,1,2007,0,0,Draftand sim
397,Keon Clark,FC,29,43,43,1,2005,0,0,Draftand sim
398,Sean Marks,FC,29,43,43,1,2005,0,0,Draftand sim
399,Oliver Miller,FC,34,44,44,1,2005,0,0,Draftand sim
400,Kenny Anderson,PG,34,44,44,1,2005,0,0,Draftand sim
401,Elden Campbell,FC,36,44,44,1,2005,0,0,Draftand sim
402,John Wallace,SF,30,43,43,1,2005,0,0,Draftand sim
403,Bryce Drew,PG,30,43,43,1,2005,0,0,Draftand sim
404,Michael Bradley,FC,25,39,45,1,2007,0,0,Draftand sim
405,Scottie Pippen,SF,39,44,44,1,2005,0,0,Draftand sim
406,Željko Rebrača,C,32,43,43,1,2005,0,0,Draftand sim
407,Chris Whitney,PG,33,43,43,1,2005,0,0,Draftand sim
408,Pat Burke,C,31,43,43,1,2005,0,0,Draftand sim
409,Cory Alexander,G,31,43,43,1,2005,0,0,Draftand sim
410,Pat Garrity,F,28,42,44,1,2005,0,0,Draftand sim
411,Paul Shirley,PF,27,41,43,1,2005,0,0,Draftand sim
412,Adonal Foyle,C,29,42,42,1,2005,0,0,Draftand sim
413,Charles Smith,SG,29,42,42,1,2005,0,0,Draftand sim
414,Alonzo Mourning,FC,34,43,43,1,2005,0,0,Draftand sim
415,Corie Blount,FC,35,43,43,1,2005,0,0,Draftand sim
416,Tierre Brown,G,25,38,44,1,2007,0,0,Draftand sim
417,Alan Henderson,FC,32,42,42,1,2005,0,0,Draftand sim
418,Rusty LaRue,PG,31,42,42,1,2005,0,0,Draftand sim
419,Popeye Jones,PF,34,42,42,1,2005,0,0,Draftand sim
420,Dana Barros,G,37,42,42,1,2005,0,0,Draftand sim
421,Sean Rooks,C,35,42,42,1,2005,0,0,Draftand sim
422,Robert Pack,PG,35,42,42,1,2005,0,0,Draftand sim
423,Mitchell Butler,SG,34,42,42,1,2005,0,0,Draftand sim
424,Doug Overton,PG,35,42,42,1,2005,0,0,Draftand sim
425,Shane Heal,PG,34,42,42,1,2005,0,0,Draftand sim
426,Scot Pollard,C,29,41,41,1,2005,0,0,Draftand sim
427,Anthony Carter,PG,29,41,41,1,2005,0,0,Draftand sim
428,John Thomas,FC,29,41,41,1,2005,0,0,Draftand sim
429,Randy Livingston,PG,29,41,41,1,2005,0,0,Draftand sim
430,Maceo Baston,PF,29,41,41,1,2005,0,0,Draftand sim
431,Othella Harrington,FC,30,41,41,1,2005,0,0,Draftand sim
432,Darrick Martin,PG,33,41,41,1,2005,0,0,Draftand sim
433,Amal McCaskill,C,31,41,41,1,2005,0,0,Draftand sim
434,Torraye Braggs,PF,28,40,40,1,2005,0,0,Draftand sim
435,Maurice Carter,SG,28,40,42,1,2005,0,0,Draftand sim
436,Glen Rice,SF,37,41,41,1,2005,0,0,Draftand sim
437,Scott Williams,FC,36,41,41,1,2005,0,0,Draftand sim
438,Jelani McCoy,C,27,39,40,1,2005,0,0,Draftand sim
439,Adrian Griffin,GF,30,40,40,1,2005,0,0,Draftand sim
440,Paul Grant,C,30,40,40,1,2005,0,0,Draftand sim
441,Cherokee Parks,FC,32,40,40,1,2005,0,0,Draftand sim
442,Mark Pope,F,32,40,40,1,2005,0,0,Draftand sim
443,Tracy Murray,SF,33,40,40,1,2005,0,0,Draftand sim
444,Anthony Miller,PF,33,40,40,1,2005,0,0,Draftand sim
445,Aleksandar Radojević,C,28,39,41,1,2005,0,0,Draftand sim
446,Tyrone Hill,FC,36,40,40,1,2005,0,0,Draftand sim
447,Mengke Bateer,C,29,39,39,1,2005,0,0,Draftand sim
448,Horace Grant,FC,39,40,40,1,2005,0,0,Draftand sim
449,Charles Oakley,FC,41,40,40,1,2005,0,0,Draftand sim
450,Darvin Ham,GF,31,39,39,1,2005,0,0,Draftand sim
451,Dikembe Mutombo,C,38,39,39,1,2005,0,0,Draftand sim
452,Hubert Davis,G,34,39,39,1,2005,0,0,Draftand sim
453,Lawrence Funderburke,PF,34,39,39,1,2005,0,0,Draftand sim
454,Avery Johnson,PG,39,39,39,1,2005,0,0,Draftand sim
455,Kevin Willis,FC,42,38,38,1,2005,0,0,Draftand sim
456,Tony Massenburg,FC,37,37,37,1,2005,0,0,Draftand sim
457,Ervin Johnson,C,37,37,37,1,2005,0,0,Draftand sim
458,Bimbo Coles,PG,36,37,37,1,2005,0,0,Draftand sim
459,Olden Polynice,C,40,37,37,1,2005,0,0,Draftand sim
460,Michael Curry,GF,36,36,36,1,2005,0,0,Draftand sim
461,Michael Stewart,FC,29,35,35,1,2005,0,0,Draftand sim
462,Mark Jackson,PG,39,34,34,1,2005,0,0,Draftand sim
